x;y;track_id_x;track_type;track_id_type;percent_of_track;completion_group;track_id_y;best_strategy;best_bias
1368.9693132162506;277.4149919191809;1;1;1_1;0.44701370632750514;5;1_1;SR_1_SM_1;0.31711145996860285
1375.7544407371977;283.9236184517267;1;1;1_1;0.4498278709585409;5;1_1;SR_1_SM_1;0.31711145996860285
1382.5395682581448;290.4322449842723;1;1;1_1;0.4526420355895766;5;1_1;SR_1_SM_1;0.31711145996860285
1389.324695779092;296.9408715168181;1;1;1_1;0.4554562002206124;5;1_1;SR_1_SM_1;0.31711145996860285
1389.4629462732928;303.58774854356443;1;1;1_1;0.4574461151145931;5;1_1;SR_1_SM_1;0.31711145996860285
1396.2480737942396;310.09637507611;1;1;1_1;0.4602602797456288;5;1_1;SR_1_SM_1;0.31711145996860285
1396.3863242884404;316.74325210285656;1;1;1_1;0.46225019463960954;5;1_1;SR_1_SM_1;0.31711145996860285
1403.1714518093877;323.25187863540214;1;1;1_1;0.46506435927064527;5;1_1;SR_1_SM_1;0.31711145996860285
1409.956579330335;329.76050516794794;1;1;1_1;0.4678785239016811;5;1_1;SR_1_SM_1;0.31711145996860285
1410.0948298245355;336.40738219469426;1;1;1_1;0.4698684387956618;5;1_1;SR_1_SM_1;0.31711145996860285
1410.2330803187365;343.0542592214408;1;1;1_1;0.4718583536896426;5;1_1;SR_1_SM_1;0.31711145996860285
1410.3713308129372;349.70113624818714;1;1;1_1;0.4738482685836233;5;1_1;SR_1_SM_1;0.31711145996860285
1417.1564583338843;356.2097627807327;1;1;1_1;0.476662433214659;5;1_1;SR_1_SM_1;0.31711145996860285
1417.2947088280853;362.85663980747927;1;1;1_1;0.4786523481086397;5;1_1;SR_1_SM_1;0.31711145996860285
1417.432959322286;369.5035168342256;1;1;1_1;0.4806422630026204;5;1_1;SR_1_SM_1;0.31711145996860285
1417.5712098164868;376.15039386097214;1;1;1_1;0.48263217789660123;5;1_1;SR_1_SM_1;0.31711145996860285
1417.7094603106875;382.79727088771847;1;1;1_1;0.48462209279058194;5;1_1;SR_1_SM_1;0.31711145996860285
1417.8477108048885;389.4441479144648;1;1;1_1;0.48661200768456253;5;1_1;SR_1_SM_1;0.31711145996860285
1417.985961299089;396.09102494121134;1;1;1_1;0.4886019225785433;5;1_1;SR_1_SM_1;0.31711145996860285
1418.1242117932898;402.73790196795767;1;1;1_1;0.490591837472524;5;1_1;SR_1_SM_1;0.31711145996860285
1418.2624622874905;409.3847789947042;1;1;1_1;0.49258175236650475;5;1_1;SR_1_SM_1;0.31711145996860285
1418.4007127816913;416.03165602145054;1;1;1_1;0.49457166726048546;5;1_1;SR_1_SM_1;0.31711145996860285
1418.538963275892;422.67853304819687;1;1;1_1;0.49656158215446616;5;1_1;SR_1_SM_1;0.31711145996860285
1418.6772137700927;429.3254100749434;1;1;1_1;0.4985514970484469;5;1_1;SR_1_SM_1;0.31711145996860285
1418.8154642642935;435.97228710168974;1;1;1_1;0.5005414119424276;6;1_1;SR_1_SM_1;0.8180341169509069
1418.9537147584942;442.6191641284363;1;1;1_1;0.5025313268364083;6;1_1;SR_1_SM_1;0.8180341169509069
1419.091965252695;449.2660411551826;1;1;1_1;0.504521241730389;6;1_1;SR_1_SM_1;0.8180341169509069
1419.2302157468955;455.9129181819292;1;1;1_1;0.5065111566243699;6;1_1;SR_1_SM_1;0.8180341169509069
1419.3684662410965;462.5597952086755;1;1;1_1;0.5085010715183506;6;1_1;SR_1_SM_1;0.8180341169509069
1419.5067167352972;469.2066722354218;1;1;1_1;0.5104909864123313;6;1_1;SR_1_SM_1;0.8180341169509069
1412.9980902027514;475.9917997563691;1;1;1_1;0.513305151043367;6;1_1;SR_1_SM_1;0.8180341169509069
1413.1363406969522;482.6386767831154;1;1;1_1;0.5152950659373478;6;1_1;SR_1_SM_1;0.8180341169509069
1413.274591191153;489.285553809862;1;1;1_1;0.5172849808313285;6;1_1;SR_1_SM_1;0.8180341169509069
1406.7659646586076;496.07068133080907;1;1;1_1;0.5200991454623641;6;1_1;SR_1_SM_1;0.8180341169509069
1406.9042151528083;502.7175583575554;1;1;1_1;0.5220890603563448;6;1_1;SR_1_SM_1;0.8180341169509069
1407.042465647009;509.36443538430194;1;1;1_1;0.5240789752503255;6;1_1;SR_1_SM_1;0.8180341169509069
1400.5338391144633;516.149562905249;1;1;1_1;0.5268931398813613;6;1_1;SR_1_SM_1;0.8180341169509069
1394.0252125819177;522.9346904261963;1;1;1_1;0.5297073045123971;6;1_1;SR_1_SM_1;0.8180341169509069
1387.3783355551714;523.0729409203971;1;1;1_1;0.5316972194063778;6;1_1;SR_1_SM_1;0.8180341169509069
1380.8697090226256;529.8580684413441;1;1;1_1;0.5345113840374135;6;1_1;SR_1_SM_1;0.8180341169509069
1374.3610824900798;536.6431959622914;1;1;1_1;0.5373255486684494;6;1_1;SR_1_SM_1;0.8180341169509069
1367.852455957534;543.4283234832385;1;1;1_1;0.5401397132994851;6;1_1;SR_1_SM_1;0.8180341169509069
1361.205578930788;543.5665739774392;1;1;1_1;0.5421296281934658;6;1_1;SR_1_SM_1;0.8180341169509069
1354.696952398242;550.3517014983863;1;1;1_1;0.5449437928245016;6;1_1;SR_1_SM_1;0.8180341169509069
1348.0500753714955;550.4899519925871;1;1;1_1;0.5469337077184823;6;1_1;SR_1_SM_1;0.8180341169509069
